
INFO Tue Jun 27 08:31:09 CEST 2023 JVM version: 1.8.0_121 Heap size: total: 573046784B, max: 1398276096B, free: 371374288B, nr cores: 4, using: 1
INFO: doing warm-up run...
...warm-up done!
CONFIGS baseline	lazy	nuxmv
CONFIG nuxmv IS SolveSatisfy --timeout 30000 --backend nuxmv --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG baseline IS SolveSatisfy --timeout 30000 --backend baseline --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG lazy IS SolveSatisfy --timeout 30000 --backend lazy --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
TIMEOUT 30000
HARD TIMEOUT 18600000 milliseconds FOR ALL
RESULT ../../../anonymous/deduped-benchmarks/27834.par	t30.040882416	u2.017758209	u8.834259619
RESULT ../../../anonymous/deduped-benchmarks/27951.par	t30.001657381	u1.511862367	t30.049555108
RESULT ../../../anonymous/deduped-benchmarks/28033.par	t30.004861866	t32.926506627	t30.030357803
RESULT ../../../anonymous/deduped-benchmarks/28042.par	t30.00178701	u1.617345651	t30.057161617
RESULT ../../../anonymous/deduped-benchmarks/27911.par	t30.011344185	u1.661248182	t30.059993978
RESULT ../../../anonymous/deduped-benchmarks/27758.par	u4.19236078	u0.762402468	t30.039549717
RESULT ../../../anonymous/deduped-benchmarks/28062.par	t30.006543595	u1.578249935	t30.054970963
RESULT ../../../anonymous/deduped-benchmarks/28016.par	t30.001289665	t33.048357012	t30.025378005
RESULT ../../../anonymous/deduped-benchmarks/27653.par	u3.79679213	u0.732637308	t30.033960173
RESULT ../../../anonymous/deduped-benchmarks/27954.par	t30.006626568	u1.552263408	t30.040856687
RESULT ../../../anonymous/deduped-benchmarks/27728.par	u7.483879531	u0.747554146	u10.732737513
RESULT ../../../anonymous/deduped-benchmarks/27702.par	u10.968454784	u0.758008965	t30.033427202
RESULT ../../../anonymous/deduped-benchmarks/27908.par	t30.006858514	u1.591680309	t30.044774375
RESULT ../../../anonymous/deduped-benchmarks/27784.par	u14.342002596	u0.753072941	u23.790436811
RESULT ../../../anonymous/deduped-benchmarks/27888.par	u4.847836417	u0.639478421	t30.037807498
RESULT ../../../anonymous/deduped-benchmarks/27681.par	u4.38916094	u0.764333037	t30.037405263
